title_std,company,city,is_remote,salary_min_lpa,salary_max_lpa,experience_min,experience_max,source,posted_at
Sql-Etl Developer,Clifyx Technology,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:11.645961
Developer - Data Migration Etl,Careernet,Bangalore,False,,,4.0,7.0,naukri,2026-03-27 17:36:11.659775
Etl With Datastage Developer,CGI,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:11.673646
Senior Sql Developer Ssis / Etl,Ekloud Data Labs,Remote,True,,,7.0,10.0,naukri,2026-03-27 17:36:11.693398
Etl Developer,Zensar,Hyderabad,False,,,6.0,11.0,naukri,2026-03-27 17:36:11.713608
Etl Developer,Apptad,Hyderabad,False,,,7.0,12.0,naukri,2026-03-27 17:36:11.728053
Etl Developer Iics Snowflake,Leading Client,Hyderabad,False,,,4.0,9.0,naukri,2026-03-27 17:36:11.742041
Etl Developer,Virtusa,Hyderabad,False,,,5.0,10.0,naukri,2026-03-27 17:36:11.755959
Etl Developer / Data Engineer,Vertex Computer Systems,Hyderabad,False,,,5.0,10.0,naukri,2026-03-27 17:36:11.769740
Etl Developer,Compunnel,Hyderabad,False,,,9.0,14.0,naukri,2026-03-27 17:36:11.784159
Etl Developer,Virtusa,Hyderabad,False,,,10.0,15.0,naukri,2026-03-27 17:36:11.797998
Etl Developer,Virtusa,Hyderabad,False,,,5.0,10.0,naukri,2026-03-27 17:36:11.812172
Etl Developer,Squircle IT,Hyderabad,False,,,2.0,7.0,naukri,2026-03-27 17:36:11.826205
Etl Developer,Cloudxtreme,Hyderabad,False,,,5.0,6.0,naukri,2026-03-27 17:36:11.840224
Etl Developer,Cloudxtreme,Hyderabad,False,,,5.0,9.0,naukri,2026-03-27 17:36:11.854364
Etl Developer,My Compliance Office,Hyderabad,False,,,10.0,15.0,naukri,2026-03-27 17:36:11.868240
Etl Developer,Cloudxtreme,Hyderabad,False,16.0,27.5,5.0,6.0,naukri,2026-03-27 17:36:11.882242
Etl Developer,Augmatrixgo,Hyderabad,False,,,4.0,6.0,naukri,2026-03-27 17:36:11.896252
Etl Developer,Diverse Lynx,Hyderabad,False,,,2.0,6.0,naukri,2026-03-27 17:36:11.912196
Etl Developer,Ecorp Trainings,Hyderabad,False,,,6.0,10.0,naukri,2026-03-27 17:36:11.927208
Etl Developer,SAS Research and Developement (India) Pvt Ltd,Pune,False,,,2.0,5.0,naukri,2026-03-27 17:36:11.941343
Etl Developer,SAS Institute of Management,Pune,False,,,2.0,6.0,naukri,2026-03-27 17:36:11.961907
Data Analyst Etl Developer,Copeland,Pune,False,,,4.0,5.0,naukri,2026-03-27 17:36:11.981768
Hcl Unica Product_Lead Python Developer Ai/Ml/Etl_Pune/Mumbai,HCLTech,Pune,False,18.0,25.0,6.0,11.0,naukri,2026-03-27 17:36:11.996860
Ifc - Etl Developer,Barclays,Pune,False,,,1.0,7.0,naukri,2026-03-27 17:36:12.011128
Etl Developer,Brid Tech Solutions,Pune,False,,,7.0,12.0,naukri,2026-03-27 17:36:12.025081
Etl Developer,Diverse Lynx,Pune,False,,,2.0,6.0,naukri,2026-03-27 17:36:12.039938
Etl Developer,KPI Partners,Pune,False,,,6.0,12.0,naukri,2026-03-27 17:36:12.054023
